"","clock.start.time","start","end","stage"
"472","03:55:30",14130,14160,"2"
"473","03:56:00",14160,14190,"2"
"474","03:56:30",14190,14220,"2"
"475","03:57:00",14220,14250,"2"
"476","03:57:30",14250,14280,"2"
"477","03:58:00",14280,14310,"2"
"478","03:58:30",14310,14340,"2"
"479","03:59:00",14340,14370,"2"
"480","03:59:30",14370,14400,"2"
"481","04:00:00",14400,14430,"2"
"482","04:00:30",14430,14460,"2"
"483","04:01:00",14460,14490,"2"
"484","04:01:30",14490,14520,"2"
"485","04:02:00",14520,14550,"2"
"486","04:02:30",14550,14580,"2"
"487","04:03:00",14580,14610,"2"
"488","04:03:30",14610,14640,"2"
"489","04:04:00",14640,14670,"3"
"490","04:04:30",14670,14700,"2"
"491","04:05:00",14700,14730,"2"
"492","04:05:30",14730,14760,"2"
"493","04:06:00",14760,14790,"2"
"494","04:06:30",14790,14820,"2"
"495","04:07:00",14820,14850,"2"
"496","04:07:30",14850,14880,"2"
"497","04:08:00",14880,14910,"2"
"498","04:08:30",14910,14940,"2"
"499","04:09:00",14940,14970,"2"
"500","04:09:30",14970,15000,"2"
"501","04:10:00",15000,15030,"2"
"502","04:10:30",15030,15060,"2"
"503","04:11:00",15060,15090,"2"
"504","04:11:30",15090,15120,"2"
"505","04:12:00",15120,15150,"2"
"506","04:12:30",15150,15180,"2"
"507","04:13:00",15180,15210,"2"
"508","04:13:30",15210,15240,"2"
"509","04:14:00",15240,15270,"2"
"510","04:14:30",15270,15300,"2"
"511","04:15:00",15300,15330,"2"
"512","04:15:30",15330,15360,"2"
"513","04:16:00",15360,15390,"3"
"514","04:16:30",15390,15420,"2"
"515","04:17:00",15420,15450,"2"
"516","04:17:30",15450,15480,"2"
"517","04:18:00",15480,15510,"-2"
"518","04:18:30",15510,15540,"-2"
"519","04:19:00",15540,15570,"-2"
"520","04:19:30",15570,15600,"-2"
"521","04:20:00",15600,15630,"-2"
"522","04:20:30",15630,15660,"-2"
"523","04:21:00",15660,15690,"-2"
"524","04:21:30",15690,15720,"-2"
"525","04:22:00",15720,15750,"-2"
"526","04:22:30",15750,15780,"-2"
"527","04:23:00",15780,15810,"-2"
"528","04:23:30",15810,15840,"-2"
"529","04:24:00",15840,15870,"-2"
"530","04:24:30",15870,15900,"-2"
"531","04:25:00",15900,15930,"-2"
"532","04:25:30",15930,15960,"-2"
"533","04:26:00",15960,15990,"-2"
"534","04:26:30",15990,16020,"-2"
"535","04:27:00",16020,16050,"-2"
"536","04:27:30",16050,16080,"-2"
"537","04:28:00",16080,16110,"-2"
"538","04:28:30",16110,16140,"-2"
"539","04:29:00",16140,16170,"-2"
"540","04:29:30",16170,16200,"-2"
"541","04:30:00",16200,16230,"-2"
"542","04:30:30",16230,16260,"-2"
"543","04:31:00",16260,16290,"-2"
"544","04:31:30",16290,16320,"-2"
"545","04:32:00",16320,16350,"-2"
"546","04:32:30",16350,16380,"-2"
"547","04:33:00",16380,16410,"-2"
"548","04:33:30",16410,16440,"-2"
"549","04:34:00",16440,16470,"-2"
"550","04:34:30",16470,16500,"-2"
"551","04:35:00",16500,16530,"-2"
"552","04:35:30",16530,16560,"-2"
"553","04:36:00",16560,16590,"-2"
"554","04:36:30",16590,16620,"-2"
"555","04:37:00",16620,16650,"-2"
"556","04:37:30",16650,16680,"-2"
"557","04:38:00",16680,16710,"-2"
"558","04:38:30",16710,16740,"-2"
"559","04:39:00",16740,16770,"-2"
"560","04:39:30",16770,16800,"-2"
"561","04:40:00",16800,16830,"-2"
"562","04:40:30",16830,16860,"-2"
"563","04:41:00",16860,16890,"-2"
"564","04:41:30",16890,16920,"-2"
"565","04:42:00",16920,16950,"-2"
"566","04:42:30",16950,16980,"-2"
"567","04:43:00",16980,17010,"-2"
"568","04:43:30",17010,17040,"-2"
"569","04:44:00",17040,17070,"-2"
"570","04:44:30",17070,17100,"-2"
"571","04:45:00",17100,17130,"-2"
"572","04:45:30",17130,17160,"-2"
"573","04:46:00",17160,17190,"-2"
"574","04:46:30",17190,17220,"-2"
"575","04:47:00",17220,17250,"-2"
"576","04:47:30",17250,17280,"-2"
"577","04:48:00",17280,17310,"-2"
"578","04:48:30",17310,17340,"-2"
"579","04:49:00",17340,17370,"-2"
"580","04:49:30",17370,17400,"-2"
"581","04:50:00",17400,17430,"-2"
"582","04:50:30",17430,17460,"-2"
"583","04:51:00",17460,17490,"-2"
"584","04:51:30",17490,17520,"-2"
"585","04:52:00",17520,17550,"-2"
"586","04:52:30",17550,17580,"-2"
"587","04:53:00",17580,17610,"-2"
"588","04:53:30",17610,17640,"-2"
"589","04:54:00",17640,17670,"-2"
"590","04:54:30",17670,17700,"-2"
"591","04:55:00",17700,17730,"-2"
"592","04:55:30",17730,17760,"-2"
"593","04:56:00",17760,17790,"-2"
"594","04:56:30",17790,17820,"-2"
"595","04:57:00",17820,17850,"-2"
"596","04:57:30",17850,17880,"-2"
"597","04:58:00",17880,17910,"-2"
"598","04:58:30",17910,17940,"-2"
"599","04:59:00",17940,17970,"-2"
"600","04:59:30",17970,18000,"-2"
"601","05:00:00",18000,18030,"-2"
"602","05:00:30",18030,18060,"-2"
"603","05:01:00",18060,18090,"-2"
"604","05:01:30",18090,18120,"-2"
"605","05:02:00",18120,18150,"-2"
"606","05:02:30",18150,18180,"-2"
"607","05:03:00",18180,18210,"-2"
"608","05:03:30",18210,18240,"-2"
"609","05:04:00",18240,18270,"-2"
"610","05:04:30",18270,18300,"-2"
"611","05:05:00",18300,18330,"-2"
"612","05:05:30",18330,18360,"-2"
"613","05:06:00",18360,18390,"-2"
"614","05:06:30",18390,18420,"-2"
"615","05:07:00",18420,18450,"-2"
"616","05:07:30",18450,18480,"-2"
"617","05:08:00",18480,18510,"-2"
"618","05:08:30",18510,18540,"-2"
"619","05:09:00",18540,18570,"-2"
"620","05:09:30",18570,18600,"-2"
"621","05:10:00",18600,18630,"-2"
"622","05:10:30",18630,18660,"-2"
"623","05:11:00",18660,18690,"-2"
"624","05:11:30",18690,18720,"-2"
"625","05:12:00",18720,18750,"-2"
"626","05:12:30",18750,18780,"-2"
"627","05:13:00",18780,18810,"-2"
"628","05:13:30",18810,18840,"-2"
"629","05:14:00",18840,18870,"-2"
"630","05:14:30",18870,18900,"-2"
"631","05:15:00",18900,18930,"-2"
"632","05:15:30",18930,18960,"-2"
"633","05:16:00",18960,18990,"-2"
"634","05:16:30",18990,19020,"-2"
"635","05:17:00",19020,19050,"-2"
"636","05:17:30",19050,19080,"-2"
"637","05:18:00",19080,19110,"-2"
"638","05:18:30",19110,19140,"-2"
"639","05:19:00",19140,19170,"-2"
"640","05:19:30",19170,19200,"-2"
"641","05:20:00",19200,19230,"-2"
"642","05:20:30",19230,19260,"-2"
"643","05:21:00",19260,19290,"-2"
"644","05:21:30",19290,19320,"-2"
"645","05:22:00",19320,19350,"-2"
"646","05:22:30",19350,19380,"-2"
"647","05:23:00",19380,19410,"-2"
"648","05:23:30",19410,19440,"-2"
"649","05:24:00",19440,19470,"-2"
"650","05:24:30",19470,19500,"-2"
"651","05:25:00",19500,19530,"-2"
"652","05:25:30",19530,19560,"-2"
"653","05:26:00",19560,19590,"-2"
"654","05:26:30",19590,19620,"-2"
"655","05:27:00",19620,19650,"-2"
"656","05:27:30",19650,19680,"-2"
"657","05:28:00",19680,19710,"-2"
"658","05:28:30",19710,19740,"-2"
"659","05:29:00",19740,19770,"-2"
"660","05:29:30",19770,19800,"-2"
"661","05:30:00",19800,19830,"-2"
"662","05:30:30",19830,19860,"-2"
"663","05:31:00",19860,19890,"-2"
"664","05:31:30",19890,19920,"-2"
"665","05:32:00",19920,19950,"-2"
"666","05:32:30",19950,19980,"-2"
"667","05:33:00",19980,20010,"-2"
"668","05:33:30",20010,20040,"-2"
"669","05:34:00",20040,20070,"-2"
"670","05:34:30",20070,20100,"-2"
"671","05:35:00",20100,20130,"-2"
"672","05:35:30",20130,20160,"-2"
"673","05:36:00",20160,20190,"-2"
"674","05:36:30",20190,20220,"-2"
"675","05:37:00",20220,20250,"-2"
"676","05:37:30",20250,20280,"-2"
"677","05:38:00",20280,20310,"-2"
"678","05:38:30",20310,20340,"-2"
"679","05:39:00",20340,20370,"-2"
"680","05:39:30",20370,20400,"-2"
"681","05:40:00",20400,20430,"-2"
"682","05:40:30",20430,20460,"-2"
"683","05:41:00",20460,20490,"-2"
"684","05:41:30",20490,20520,"-2"
"685","05:42:00",20520,20550,"-2"
"686","05:42:30",20550,20580,"-2"
"687","05:43:00",20580,20610,"-2"
"688","05:43:30",20610,20640,"-2"
"689","05:44:00",20640,20670,"-2"
"690","05:44:30",20670,20700,"-2"
"691","05:45:00",20700,20730,"-2"
"692","05:45:30",20730,20760,"-2"
"693","05:46:00",20760,20790,"-2"
"694","05:46:30",20790,20820,"-2"
"695","05:47:00",20820,20850,"-2"
"696","05:47:30",20850,20880,"-2"
"697","05:48:00",20880,20910,"-2"
"698","05:48:30",20910,20940,"-2"
"699","05:49:00",20940,20970,"-2"
"700","05:49:30",20970,21000,"-2"
"701","05:50:00",21000,21030,"-2"
"702","05:50:30",21030,21060,"-2"
"703","05:51:00",21060,21090,"-2"
"704","05:51:30",21090,21120,"-2"
"705","05:52:00",21120,21150,"-2"
"706","05:52:30",21150,21180,"-2"
"707","05:53:00",21180,21210,"-2"
"708","05:53:30",21210,21240,"-2"
"709","05:54:00",21240,21270,"-2"
"710","05:54:30",21270,21300,"-2"
"711","05:55:00",21300,21330,"-2"
"712","05:55:30",21330,21360,"-2"
"713","05:56:00",21360,21390,"-2"
"714","05:56:30",21390,21420,"-2"
"715","05:57:00",21420,21450,"-2"
"716","05:57:30",21450,21480,"-2"
"717","05:58:00",21480,21510,"-2"
"718","05:58:30",21510,21540,"-2"
"719","05:59:00",21540,21570,"-2"
"720","05:59:30",21570,21600,"-2"
"721","06:00:00",21600,21630,"-2"
"722","06:00:30",21630,21660,"-2"
"723","06:01:00",21660,21690,"-2"
"724","06:01:30",21690,21720,"-2"
"725","06:02:00",21720,21750,"-2"
"726","06:02:30",21750,21780,"-2"
